suite	task_id	task_number	prompt	bddl_language	symbolic_goal	bddl_path
libero_90	81	82	STUDY SCENE3 pick up the book and place it in the front compartment of the caddy	pick up the book and place it in the front compartment of the caddy	(And (In black_book_1 desk_caddy_1_front_contain_region))	third_party/libero/libero/libero/bddl_files/libero_90/STUDY_SCENE3_pick_up_the_book_and_place_it_in_the_front_compartment_of_the_caddy.bddl
libero_90	82	83	STUDY SCENE3 pick up the book and place it in the left compartment of the caddy	pick up the book and place it in the left compartment of the caddy	(And (In black_book_1 desk_caddy_1_left_contain_region))	third_party/libero/libero/libero/bddl_files/libero_90/STUDY_SCENE3_pick_up_the_book_and_place_it_in_the_left_compartment_of_the_caddy.bddl
libero_90	83	84	STUDY SCENE3 pick up the book and place it in the right compartment of the caddy	pick up the book and place it in the right compartment of the caddy	(And (In black_book_1 desk_caddy_1_right_contain_region))	third_party/libero/libero/libero/bddl_files/libero_90/STUDY_SCENE3_pick_up_the_book_and_place_it_in_the_right_compartment_of_the_caddy.bddl
libero_90	84	85	STUDY SCENE3 pick up the red mug and place it to the right of the caddy	pick up the red mug and place it to the right compartment of the caddy	(And (On red_coffee_mug_1 study_table_desk_caddy_right_region))	third_party/libero/libero/libero/bddl_files/libero_90/STUDY_SCENE3_pick_up_the_red_mug_and_place_it_to_the_right_of_the_caddy.bddl
libero_90	85	86	STUDY SCENE3 pick up the white mug and place it to the right of the caddy	pick up the white mug and place it to the right compartment of the caddy	(And (On porcelain_mug_1 study_table_desk_caddy_right_region))	third_party/libero/libero/libero/bddl_files/libero_90/STUDY_SCENE3_pick_up_the_white_mug_and_place_it_to_the_right_of_the_caddy.bddl
libero_90	86	87	STUDY SCENE4 pick up the book in the middle and place it on the cabinet shelf	pick up the book in the middle and place it on the cabinet shelf	(And (In black_book_1 wooden_two_layer_shelf_1_top_region))	third_party/libero/libero/libero/bddl_files/libero_90/STUDY_SCENE4_pick_up_the_book_in_the_middle_and_place_it_on_the_cabinet_shelf.bddl
libero_90	87	88	STUDY SCENE4 pick up the book on the left and place it on top of the shelf	pick up the book on the left and place it on top of the shelf	(And (On yellow_book_2 wooden_two_layer_shelf_1_top_side))	third_party/libero/libero/libero/bddl_files/libero_90/STUDY_SCENE4_pick_up_the_book_on_the_left_and_place_it_on_top_of_the_shelf.bddl
libero_90	88	89	STUDY SCENE4 pick up the book on the right and place it on the cabinet shelf	pick up the book on the right and place it on the cabinet shelf	(And (In yellow_book_1 wooden_two_layer_shelf_1_top_region))	third_party/libero/libero/libero/bddl_files/libero_90/STUDY_SCENE4_pick_up_the_book_on_the_right_and_place_it_on_the_cabinet_shelf.bddl
libero_90	89	90	STUDY SCENE4 pick up the book on the right and place it under the cabinet shelf	pick up the book on the right and place it under the cabinet shelf	(And (In yellow_book_1 wooden_two_layer_shelf_1_bottom_region))	third_party/libero/libero/libero/bddl_files/libero_90/STUDY_SCENE4_pick_up_the_book_on_the_right_and_place_it_under_the_cabinet_shelf.bddl
libero_goal	0	1	open the middle drawer of the cabinet	Open the middle layer of the drawer	(And (Open wooden_cabinet_1_middle_region))	third_party/libero/libero/libero/bddl_files/libero_goal/open_the_middle_drawer_of_the_cabinet.bddl
libero_goal	1	2	put the bowl on the stove	Put the bowl on the stove	(And (On akita_black_bowl_1 flat_stove_1_cook_region))	third_party/libero/libero/libero/bddl_files/libero_goal/put_the_bowl_on_the_stove.bddl
libero_goal	2	3	put the wine bottle on top of the cabinet	Put the wine bottle on the top of the drawer	(And (On wine_bottle_1 wooden_cabinet_1_top_side))	third_party/libero/libero/libero/bddl_files/libero_goal/put_the_wine_bottle_on_top_of_the_cabinet.bddl
libero_goal	3	4	open the top drawer and put the bowl inside	Open the top layer of the drawer and put the bowl inside	(And (In akita_black_bowl_1 wooden_cabinet_1_top_region))	third_party/libero/libero/libero/bddl_files/libero_goal/open_the_top_drawer_and_put_the_bowl_inside.bddl
libero_goal	4	5	put the bowl on top of the cabinet	Put the bowl on the top of the drawer	(And (On akita_black_bowl_1 wooden_cabinet_1_top_side))	third_party/libero/libero/libero/bddl_files/libero_goal/put_the_bowl_on_top_of_the_cabinet.bddl
libero_goal	5	6	push the plate to the front of the stove	Push the plate to the front of the stove	(And (On plate_1 main_table_stove_front_region))	third_party/libero/libero/libero/bddl_files/libero_goal/push_the_plate_to_the_front_of_the_stove.bddl
libero_goal	6	7	put the cream cheese in the bowl	Put the cream cheese on the bowl	(And (On cream_cheese_1 akita_black_bowl_1))	third_party/libero/libero/libero/bddl_files/libero_goal/put_the_cream_cheese_in_the_bowl.bddl
libero_goal	7	8	turn on the stove	Turn on the stove	(And (Turnon flat_stove_1))	third_party/libero/libero/libero/bddl_files/libero_goal/turn_on_the_stove.bddl
libero_goal	8	9	put the bowl on the plate	Put the bowl on the plate	(And (On akita_black_bowl_1 plate_1))	third_party/libero/libero/libero/bddl_files/libero_goal/put_the_bowl_on_the_plate.bddl
libero_goal	9	10	put the wine bottle on the rack	Put the wine bottle on the rack	(And (On wine_bottle_1 wine_rack_1_top_region))	third_party/libero/libero/libero/bddl_files/libero_goal/put_the_wine_bottle_on_the_rack.bddl
libero_object	0	1	pick up the alphabet soup and place it in the basket	Pick the alphabet soup and place it in the basket	(And (In alphabet_soup_1 basket_1_contain_region))	third_party/libero/libero/libero/bddl_files/libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket.bddl
libero_object	1	2	pick up the cream cheese and place it in the basket	Pick the cream cheese and place it in the basket	(And (In cream_cheese_1 basket_1_contain_region))	third_party/libero/libero/libero/bddl_files/libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket.bddl
libero_object	2	3	pick up the salad dressing and place it in the basket	Pick the salad dressing and place it in the basket	(And (In salad_dressing_1 basket_1_contain_region))	third_party/libero/libero/libero/bddl_files/libero_object/pick_up_the_salad_dressing_and_place_it_in_the_basket.bddl
libero_object	3	4	pick up the bbq sauce and place it in the basket	Pick the bbq sauce and place it in the basket	(And (In bbq_sauce_1 basket_1_contain_region))	third_party/libero/libero/libero/bddl_files/libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket.bddl
libero_object	4	5	pick up the ketchup and place it in the basket	Pick the ketchup and place it in the basket	(And (In ketchup_1 basket_1_contain_region))	third_party/libero/libero/libero/bddl_files/libero_object/pick_up_the_ketchup_and_place_it_in_the_basket.bddl
libero_object	5	6	pick up the tomato sauce and place it in the basket	Pick the tomato sauce and place it in the basket	(And (In tomato_sauce_1 basket_1_contain_region))	third_party/libero/libero/libero/bddl_files/libero_object/pick_up_the_tomato_sauce_and_place_it_in_the_basket.bddl
libero_object	6	7	pick up the butter and place it in the basket	Pick the butter and place it in the basket	(And (In butter_1 basket_1_contain_region))	third_party/libero/libero/libero/bddl_files/libero_object/pick_up_the_butter_and_place_it_in_the_basket.bddl
libero_object	7	8	pick up the milk and place it in the basket	Pick the milk and place it in the basket	(And (In milk_1 basket_1_contain_region))	third_party/libero/libero/libero/bddl_files/libero_object/pick_up_the_milk_and_place_it_in_the_basket.bddl
libero_object	8	9	pick up the chocolate pudding and place it in the basket	Pick the chocolate pudding and place it in the basket	(And (In chocolate_pudding_1 basket_1_contain_region))	third_party/libero/libero/libero/bddl_files/libero_object/pick_up_the_chocolate_pudding_and_place_it_in_the_basket.bddl
libero_object	9	10	pick up the orange juice and place it in the basket	Pick the orange juice and place it in the basket	(And (In orange_juice_1 basket_1_contain_region))	third_party/libero/libero/libero/bddl_files/libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket.bddl
libero_spatial	0	1	pick up the black bowl between the plate and the ramekin and place it on the plate	Pick the akita black bowl between the plate and the ramekin and place it on the plate	(And (On akita_black_bowl_1 plate_1))	third_party/libero/libero/libero/bddl_files/libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate.bddl
libero_spatial	1	2	pick up the black bowl next to the ramekin and place it on the plate	Pick the akita black bowl next to the ramekin and place it on the plate	(And (On akita_black_bowl_1 plate_1))	third_party/libero/libero/libero/bddl_files/libero_spatial/pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate.bddl
libero_spatial	2	3	pick up the black bowl from table center and place it on the plate	Pick the akita black bowl from table center and place it on the plate	(And (On akita_black_bowl_1 plate_1))	third_party/libero/libero/libero/bddl_files/libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate.bddl
libero_spatial	3	4	pick up the black bowl on the cookie box and place it on the plate	Pick the akita black bowl on the cookies box and place it on the plate	(And (On akita_black_bowl_1 plate_1))	third_party/libero/libero/libero/bddl_files/libero_spatial/pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate.bddl
libero_spatial	4	5	pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate	Pick the akita black bowl in the top layer of the wooden cabinet and place it on the plate	(And (On akita_black_bowl_1 plate_1))	third_party/libero/libero/libero/bddl_files/libero_spatial/pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate.bddl
libero_spatial	5	6	pick up the black bowl on the ramekin and place it on the plate	Pick the akita black bowl on the ramekin and place it on the plate	(And (On akita_black_bowl_1 plate_1))	third_party/libero/libero/libero/bddl_files/libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate.bddl
libero_spatial	6	7	pick up the black bowl next to the cookie box and place it on the plate	Pick the akita black bowl next to the cookies box and place it on the plate	(And (On akita_black_bowl_1 plate_1))	third_party/libero/libero/libero/bddl_files/libero_spatial/pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate.bddl
libero_spatial	7	8	pick up the black bowl on the stove and place it on the plate	Pick the akita black bowl on the stove and place it on the plate	(And (On akita_black_bowl_1 plate_1))	third_party/libero/libero/libero/bddl_files/libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate.bddl
libero_spatial	8	9	pick up the black bowl next to the plate and place it on the plate	Pick the akita black bowl next to the plate and place it on the plate	(And (On akita_black_bowl_1 plate_1))	third_party/libero/libero/libero/bddl_files/libero_spatial/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate.bddl
libero_spatial	9	10	pick up the black bowl on the wooden cabinet and place it on the plate	Pick the akita black bowl on the wooden cabinet and place it on the plate	(And (On akita_black_bowl_1 plate_1))	third_party/libero/libero/libero/bddl_files/libero_spatial/pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate.bddl
